County,Year,Total,Violent Crime,Property Crime,Murder,Rape,Robbery,Assault,Burglary,Larceny,Car Theft
Putnam,2012,875,41,834,0,7,8,26,188,613,33
Putnam,2013,772,49,723,0,12,8,29,131,565,27
Putnam,2014,780,51,729,0,3,8,40,161,553,15
Putnam,2015,589,43,546,0,12,3,28,89,430,27
Rensselaer,2002,4953,547,4406,7,47,153,340,1010,3086,310
Rensselaer,2003,4636,528,4108,2,55,108,363,932,2932,244
Rensselaer,2004,4318,488,3830,2,48,113,325,975,2584,271
Rensselaer,2005,4421,490,3931,4,42,93,351,934,2711,286
Rensselaer,2006,4695,559,4136,2,44,137,376,1017,2883,236
Rensselaer,2007,4539,495,4044,3,38,153,301,938,2873,233
Rensselaer,2008,4770,547,4223,5,33,176,333,957,3102,164
Rensselaer,2009,4809,513,4296,3,29,188,293,988,3128,180
Rensselaer,2010,4853,546,4307,2,38,162,344,963,3113,231
Rensselaer,2011,4687,485,4202,1,42,128,314,1153,2900,149
Rensselaer,2012,4647,447,4200,9,30,130,278,980,3083,137
Rensselaer,2013,4137,471,3666,3,24,159,285,917,2615,134
Rensselaer,2014,4259,471,3788,9,25,133,304,811,2778,199
Rensselaer,2015,4195,546,3649,10,56,174,306,676,2821,152
Rockland,2002,5409,649,4760,4,22,172,451,736,3787,237
Rockland,2003,4946,554,4392,6,19,139,390,628,3563,201
Rockland,2004,5232,571,4661,5,27,176,363,553,3887,221
Rockland,2005,4758,541,4217,5,24,125,387,539,3502,176
Rockland,2006,4746,507,4239,3,29,163,312,543,3512,184
Rockland,2007,4477,545,3932,1,28,161,355,508,3245,179
Rockland,2008,5047,542,4505,2,32,151,357,562,3803,140
Rockland,2009,4988,473,4515,2,18,149,304,498,3864,153
Rockland,2010,4766,460,4306,2,20,146,292,573,3610,123
Rockland,2011,4567,554,4013,3,31,167,353,518,3390,105
Rockland,2012,4325,501,3824,2,29,146,324,540,3156,128
Rockland,2013,3805,395,3410,4,28,94,269,408,2910,92
Rockland,2014,3710,370,3340,3,19,112,236,375,2884,81
Rockland,2015,3763,482,3281,4,62,122,294,291,2895,95
Saratoga,2002,2860,262,2598,5,39,32,186,502,1984,112
Saratoga,2003,2629,197,2432,1,18,34,144,473,1861,98
Saratoga,2004,2851,248,2603,3,32,28,185,471,2024,108
Saratoga,2005,2870,269,2601,1,32,22,214,448,2045,108
Saratoga,2006,3287,244,3043,2,31,24,187,597,2346,100
Saratoga,2007,3033,205,2828,0,27,22,156,510,2232,86
Saratoga,2008,3140,161,2979,0,23,21,117,505,2392,82
Saratoga,2009,2923,173,2750,1,24,37,111,473,2214,63
Saratoga,2010,3236,151,3085,0,22,26,103,549,2457,79
Saratoga,2011,3075,132,2943,2,18,20,92,502,2383,58
Saratoga,2012,3241,153,3088,2,18,19,114,542,2489,57
Saratoga,2013,3115,173,2942,1,21,35,116,494,2385,63
Saratoga,2014,2964,165,2799,1,26,29,109,448,2281,70
Saratoga,2015,2841,256,2585,0,81,24,151,361,2166,58
Schenectady,2002,5157,563,4594,8,53,195,307,955,3264,375
Schenectady,2003,4788,554,4234,12,49,191,302,932,3012,290
Schenectady,2004,5418,613,4805,10,48,196,359,909,3586,310
Schenectady,2005,5764,708,5056,8,48,279,373,995,3694,367
Schenectady,2006,6185,799,5386,7,58,344,390,1415,3576,395
Schenectady,2007,5355,689,4666,5,36,288,360,1026,3282,358
Schenectady,2008,5643,740,4903,9,43,311,377,1125,3489,289
Schenectady,2009,5830,652,5178,7,41,258,346,1019,3901,258
Schenectady,2010,6021,748,5273,8,57,279,404,1140,3913,220
Schenectady,2011,5528,687,4841,4,43,219,421,1145,3481,215
Schenectady,2012,5591,691,4900,7,37,226,421,1060,3646,194
Schenectady,2013,5379,676,4703,11,36,229,400,1007,3500,196
Schenectady,2014,5092,598,4494,6,38,168,386,879,3453,162
Schenectady,2015,4201,503,3698,6,46,122,329,552,3054,92
Schoharie,2002,640,67,573,0,17,3,47,123,433,17
Schoharie,2003,648,40,608,0,12,2,26,123,461,24
Schoharie,2004,523,45,478,0,8,2,35,87,373,18
Schoharie,2005,498,33,465,0,9,1,23,78,376,11
Schoharie,2006,479,28,451,2,5,1,20,78,360,13
Schoharie,2007,567,33,534,0,4,1,28,152,370,12
Schoharie,2008,605,22,583,0,4,2,16,151,420,12
Schoharie,2009,572,27,545,1,4,4,18,145,391,9
Schoharie,2010,467,17,450,0,2,3,12,98,343,9
Schoharie,2011,433,15,418,0,3,1,11,122,283,13
Schoharie,2012,494,19,475,0,6,1,12,130,333,12
Schoharie,2013,536,27,509,0,8,5,14,117,383,9
Schoharie,2014,380,11,369,0,1,1,9,72,285,12
Schoharie,2015,402,38,364,1,20,0,17,63,289,12
Schuyler,2002,324,29,295,3,5,1,20,52,235,8
Schuyler,2003,322,21,301,0,2,2,17,56,236,9
Schuyler,2004,347,12,335,0,1,0,11,47,276,12
Schuyler,2005,341,30,311,0,4,0,26,60,245,6
Schuyler,2006,213,12,201,0,2,1,9,41,152,8
Schuyler,2007,167,19,148,0,2,1,16,31,113,4
Schuyler,2008,207,15,192,0,3,1,11,35,153,4
Schuyler,2009,174,18,156,0,4,1,13,38,113,5
Schuyler,2010,198,11,187,0,1,2,8,32,148,7
Schuyler,2011,172,18,154,0,5,0,13,32,115,7
Schuyler,2012,185,21,164,1,4,1,15,40,115,9
Schuyler,2013,165,14,151,0,0,1,13,33,111,7
Schuyler,2014,165,10,155,0,0,0,10,20,130,5
Schuyler,2015,149,14,135,0,9,2,3,20,114,1
Seneca,2002,636,55,581,1,3,6,45,93,471,17
Seneca,2003,606,44,562,0,11,1,32,70,483,9
Seneca,2004,586,37,549,0,7,2,28,60,469,20
Seneca,2005,587,37,550,0,9,2,26,105,430,15
Seneca,2006,590,46,544,0,4,4,38,81,447,16
Seneca,2007,565,46,519,0,6,1,39,74,438,7
Seneca,2008,665,46,619,1,9,4,32,101,494,24
Seneca,2009,651,48,603,0,3,5,40,125,459,19
Seneca,2010,660,52,608,0,14,4,34,121,478,9
Seneca,2011,681,63,618,1,7,4,51,112,488,18
Seneca,2012,853,59,794,0,5,3,51,119,665,10
Seneca,2013,794,62,732,2,8,5,47,123,599,10
Seneca,2014,721,57,664,1,5,2,49,92,555,17
Seneca,2015,720,61,659,0,17,6,38,103,535,21
St Lawrence,2002,2523,264,2259,2,35,8,219,441,1747,71
St Lawrence,2003,2579,216,2363,1,45,15,155,540,1755,68
St Lawrence,2004,2644,144,2500,0,25,11,108,561,1852,87
St Lawrence,2005,2673,174,2499,4,24,8,138,545,1886,68
St Lawrence,2006,2699,158,2541,3,30,7,118,619,1848,74
St Lawrence,2007,2318,196,2122,1,22,6,167,387,1692,43
St Lawrence,2008,2327,210,2117,0,26,5,179,429,1636,52
St Lawrence,2009,1818,194,1624,0,37,11,146,417,1169,38
St Lawrence,2010,2482,141,2341,2,24,19,96,474,1809,58
St Lawrence,2011,2515,143,2372,2,21,10,110,535,1792,45
St Lawrence,2012,2241,122,2119,0,14,11,97,417,1662,40
St Lawrence,2013,1965,112,1853,1,10,12,89,345,1470,38
St Lawrence,2014,1757,97,1660,3,20,12,62,284,1346,30
St Lawrence,2015,1663,142,1521,2,53,14,73,278,1214,29
Steuben,2002,1417,122,1295,0,24,11,87,297,966,32
Steuben,2003,1516,126,1390,0,34,19,73,259,1083,48
Steuben,2004,2093,188,1905,5,37,15,131,362,1496,47
Steuben,2005,2153,202,1951,2,47,16,137,385,1513,53
Steuben,2006,1770,259,1511,1,90,14,154,295,1185,31
Steuben,2007,1551,160,1391,2,36,16,106,263,1096,32
Steuben,2008,1498,161,1337,0,33,7,121,276,1029,32
Steuben,2009,1401,134,1267,2,23,11,98,281,964,22
Steuben,2010,1837,164,1673,2,18,13,131,370,1259,44
Steuben,2011,1687,138,1549,2,27,17,92,314,1197,38
Steuben,2012,1837,156,1681,0,40,15,101,348,1279,54
Steuben,2013,1533,123,1410,1,21,13,88,266,1120,24
Steuben,2014,1533,113,1420,0,26,9,78,246,1131,43
Steuben,2015,1566,185,1381,1,79,12,93,203,1147,31
Suffolk,2002,36707,3124,33583,19,169,996,1940,5211,25258,3114
Suffolk,2003,35391,2975,32416,29,142,1059,1745,5139,24225,3052
Suffolk,2004,32016,2844,29172,28,130,958,1728,4316,22091,2765
Suffolk,2005,32092,3109,28983,32,103,1159,1815,4294,22311,2378
Suffolk,2006,32596,3100,29496,38,110,1142,1810,4181,22831,2484
Suffolk,2007,31374,2657,28717,30,109,957,1561,4066,22390,2261
Suffolk,2008,34015,2613,31402,39,112,985,1477,4777,24523,2102
Suffolk,2009,32604,2740,29864,33,85,1059,1563,4555,23648,1661
Suffolk,2010,32638,2377,30261,52,68,877,1380,4822,23841,1598
Suffolk,2011,31406,2217,29189,32,63,818,1304,5108,22807,1274
Suffolk,2012,28871,2127,26744,23,47,757,1300,4359,21200,1185
Suffolk,2013,26373,1930,24443,27,53,691,1159,3610,19655,1178
Suffolk,2014,26113,1764,24349,29,50,632,1053,3338,19770,1241
Suffolk,2015,24298,2003,22295,25,167,729,1082,2571,18485,1239
Sullivan,2002,1837,256,1581,0,18,37,201,473,1048,60
Sullivan,2003,2106,294,1812,2,32,29,231,562,1163,87
Sullivan,2004,1880,273,1607,2,31,31,209,515,1017,75
Sullivan,2005,2221,260,1961,0,22,46,192,565,1317,79
Sullivan,2006,2004,291,1713,2,28,47,214,489,1131,93
Sullivan,2007,2067,268,1799,0,20,45,203,492,1206,101
Sullivan,2008,1806,195,1611,3,27,27,138,506,1047,58
Sullivan,2009,1544,186,1358,3,22,28,133,433,891,34
Sullivan,2010,1708,219,1489,3,24,34,158,434,1004,51
Sullivan,2011,1940,201,1739,2,20,26,153,549,1146,44
Sullivan,2012,1931,181,1750,1,34,29,117,569,1140,41
Sullivan,2013,1718,172,1546,1,18,22,131,484,1022,40
Sullivan,2014,1643,157,1486,3,14,27,113,471,975,40
Sullivan,2015,1328,169,1159,1,64,15,89,332,806,21
Tioga,2002,610,38,572,0,4,3,31,136,413,23
Tioga,2003,600,32,568,1,9,3,19,137,404,27
Tioga,2004,546,29,517,0,6,3,20,152,343,22
Tioga,2005,513,29,484,1,4,1,23,117,344,23
Tioga,2006,587,37,550,0,7,1,29,139,389,22
Tioga,2007,533,35,498,0,4,2,29,118,355,25
Tioga,2008,580,36,544,0,9,1,26,123,402,19
Tioga,2009,555,30,525,0,4,0,26,122,386,17
Tioga,2010,600,36,564,0,4,6,26,135,418,11
Tioga,2011,591,34,557,0,5,3,26,149,390,18
Tioga,2012,667,35,632,0,0,7,28,151,466,15
Tioga,2013,650,27,623,1,4,5,17,166,432,25
Tioga,2014,468,27,441,0,5,2,20,113,314,14
Tioga,2015,460,54,406,1,23,6,24,82,305,19
Tompkins,2002,3005,132,2873,1,24,39,68,466,2360,47
Tompkins,2003,2294,128,2166,2,15,36,75,401,1730,35
Tompkins,2004,2263,116,2147,2,21,31,62,304,1799,44
Tompkins,2005,2812,147,2665,0,21,39,87,438,2148,79
Tompkins,2006,2720,147,2573,1,27,32,87,330,2170,73
Tompkins,2007,2452,116,2336,0,18,29,69,345,1938,53
Tompkins,2008,2475,137,2338,2,14,35,86,426,1856,56
Tompkins,2009,2558,153,2405,3,12,39,99,373,1999,33
Tompkins,2010,2505,120,2385,2,16,28,74,313,2028,44
Tompkins,2011,2389,90,2299,1,10,22,57,327,1933,39
Tompkins,2012,2746,116,2630,0,16,38,62,405,2172,53
Tompkins,2013,2902,109,2793,1,13,29,66,459,2296,38
Tompkins,2014,2603,103,2500,1,15,34,53,484,1980,36
Tompkins,2015,2293,147,2146,0,55,32,60,323,1786,37
Ulster,2002,4106,525,3581,1,26,93,405,724,2696,161
Ulster,2003,4026,582,3444,4,36,107,435,679,2552,213
Ulster,2004,3905,467,3438,5,36,94,332,575,2737,126
Ulster,2005,4062,558,3504,3,65,105,385,566,2772,166
Ulster,2006,3919,512,3407,5,50,76,381,697,2556,154
Ulster,2007,3473,455,3018,3,41,66,345,630,2259,129
Ulster,2008,3670,459,3211,6,51,71,331,823,2291,97
Ulster,2009,3898,445,3453,1,27,98,319,709,2627,117
Ulster,2010,3839,408,3431,2,31,63,312,707,2616,108
Ulster,2011,3772,335,3437,2,43,65,225,752,2597,88
Ulster,2012,3943,279,3664,1,31,38,209,732,2853,79
Ulster,2013,3580,294,3286,3,31,52,208,593,2638,55
Ulster,2014,3262,293,2969,5,50,49,189,558,2367,44
Ulster,2015,3010,304,2706,0,96,41,167,421,2214,71
Warren,2002,1892,122,1770,1,19,9,93,304,1429,37
Warren,2003,1600,135,1465,1,25,10,99,248,1183,34
Warren,2004,1457,98,1359,0,15,7,76,176,1154,29
Warren,2005,1566,89,1477,3,11,12,63,246,1206,25
Warren,2006,1817,112,1705,1,23,14,74,304,1366,35
Warren,2007,1629,109,1520,2,18,9,80,217,1271,32
Warren,2008,1614,111,1503,0,20,9,82,166,1320,17
Warren,2009,1444,77,1367,0,6,7,64,173,1169,25
Warren,2010,1297,99,1198,0,17,9,73,192,991,15
Warren,2011,1494,107,1387,3,19,12,73,226,1135,26
Warren,2012,1430,125,1305,3,18,9,95,173,1106,26
Warren,2013,1292,53,1239,1,10,7,35,158,1073,8
Warren,2014,1208,40,1168,0,9,6,25,156,998,14
Warren,2015,1087,108,979,1,51,11,45,121,845,13
Washington,2002,1123,213,910,1,19,1,192,200,685,25
Washington,2003,1016,185,831,0,11,7,167,204,608,19
Washington,2004,774,86,688,0,14,5,67,143,527,18
Washington,2005,909,97,812,1,19,5,72,179,595,38
Washington,2006,1073,96,977,3,16,0,77,281,658,38
Washington,2007,1003,128,875,3,24,3,98,160,678,37
Washington,2008,911,119,792,2,21,6,90,187,581,24
Washington,2009,769,60,709,0,9,4,47,164,515,30
Washington,2010,884,93,791,0,17,6,70,225,537,29
Washington,2011,866,96,770,3,15,6,72,186,567,17
Washington,2012,969,77,892,7,11,7,52,236,624,32
Washington,2013,882,71,811,1,5,6,59,187,601,23
Washington,2014,684,60,624,0,9,3,48,118,487,19
Washington,2015,599,91,508,1,28,1,61,91,403,14
Wayne,2002,2020,135,1885,2,15,21,97,357,1481,47
Wayne,2003,2255,145,2110,1,22,18,104,472,1574,64
Wayne,2004,2182,197,1985,4,46,15,132,430,1489,66
Wayne,2005,2218,171,2047,1,31,18,121,453,1511,83
Wayne,2006,2267,165,2102,0,30,28,107,518,1498,86
Wayne,2007,1784,162,1622,1,30,14,117,319,1253,50
Wayne,2008,2008,185,1823,1,27,29,128,393,1382,48
Wayne,2009,1774,140,1634,0,21,25,94,399,1187,48
Wayne,2010,1970,169,1801,0,21,15,133,484,1271,46
Wayne,2011,1708,141,1567,0,30,24,87,414,1109,44
Wayne,2012,1845,132,1713,1,21,19,91,458,1215,40
Wayne,2013,1842,153,1689,4,21,29,99,469,1182,38
Wayne,2014,1602,112,1490,0,23,24,65,352,1093,45
Wayne,2015,1625,197,1428,2,77,21,97,350,1030,48
Westchester,2002,19948,2575,17373,33,78,1057,1407,2747,12583,2043
Westchester,2003,19498,2616,16882,21,89,1145,1361,2606,12438,1838
Westchester,2004,18622,2601,16021,29,105,1171,1296,2300,12185,1536
Westchester,2005,17345,2648,14697,23,77,1278,1270,2088,11343,1266
Westchester,2006,17678,2768,14910,20,83,1364,1301,2202,11621,1087
Westchester,2007,16786,2478,14308,22,90,1038,1328,2337,11000,971
Westchester,2008,16723,2414,14309,27,75,1093,1219,2370,11096,843
Westchester,2009,16636,2482,14154,22,77,1042,1341,2249,11007,898
Westchester,2010,15392,2457,12935,20,75,1095,1267,1983,10276,676
Westchester,2011,16282,2557,13725,21,71,1034,1431,2124,10823,778
Westchester,2012,15040,2448,12592,20,72,924,1432,1887,10069,636
Westchester,2013,14129,2191,11938,11,58,843,1279,1678,9642,618
Westchester,2014,12103,2149,9954,14,65,804,1266,1490,7992,472
Westchester,2015,12230,2145,10085,17,168,739,1221,1306,8097,682
Wyoming,2002,1145,72,1073,1,7,2,62,443,604,26
Wyoming,2003,1006,80,926,1,6,6,67,299,601,26
Wyoming,2004,681,58,623,1,7,3,47,110,490,23
Wyoming,2005,704,83,621,0,7,1,75,114,481,26
Wyoming,2006,753,100,653,1,12,3,84,157,468,28
Wyoming,2007,641,54,587,0,11,2,41,123,444,20
Wyoming,2008,547,52,495,0,4,6,42,110,372,13
Wyoming,2009,500,47,453,0,6,1,40,101,342,10
Wyoming,2010,476,33,443,0,4,0,29,94,339,10
Wyoming,2011,528,37,491,0,5,2,30,96,381,14
Wyoming,2012,552,51,501,0,5,6,40,76,408,17
Wyoming,2013,510,41,469,0,3,2,36,82,379,8
Wyoming,2014,379,36,343,0,1,0,35,59,274,10
Wyoming,2015,422,58,364,3,16,0,39,60,294,10
Yates,2002,389,30,359,1,11,3,15,57,299,3
Yates,2003,360,30,330,0,6,2,22,66,259,5
Yates,2004,326,30,296,0,8,3,19,87,202,7
Yates,2005,302,19,283,0,3,2,14,78,203,2
Yates,2006,373,23,350,0,4,3,16,70,271,9
Yates,2007,337,13,324,0,2,1,10,69,249,6
Yates,2008,284,15,269,0,3,3,9,72,194,3
Yates,2009,350,11,339,1,3,1,6,78,260,1
Yates,2010,474,18,456,0,5,2,11,128,321,7
Yates,2011,410,13,397,0,0,0,13,109,285,3
Yates,2012,428,20,408,0,6,0,14,111,293,4
Yates,2013,413,14,399,0,6,1,7,112,284,3
Yates,2014,321,18,303,0,4,2,12,78,218,7
Yates,2015,299,25,274,0,8,0,17,84,188,2
